epoch phase free0_mb o5 o6 o7 o8 o9 o10 d_pgscan_kswapd d_pgsteal_kswapd d_pgsteal_file d_refault_file d_compact_stall kswapd0_jiffies oom_kill d_pswpout d_pgsteal_direct d_pgscan_direct file_pages_mb
1789666581 pinup 54645 18750 16713 9177 6389 2613 6835 0 0 0 0 0 99976 23 0 0 0 11997
1789666582 pinup 54645 18749 16712 9176 6388 2614 6835 0 0 0 0 0 99976 23 0 0 0 11997
1789666583 pinup 52651 18689 16654 9137 6346 2626 6852 0 0 0 0 0 99976 23 0 0 0 11997
1789666584 pinup 50571 7185 16654 9137 6346 2626 6852 0 0 0 0 0 99976 23 0 0 0 11997
1789666585 pinup 48476 247 11809 9137 6346 2626 6852 0 0 0 0 0 99976 23 0 0 0 11998
1789666586 pinup 46390 246 3495 9137 6346 2626 6852 0 0 0 0 0 99976 23 0 0 0 11998
1789666588 pinup 44310 246 132 6644 6346 2626 6852 0 0 0 0 0 99976 23 0 0 0 11998
1789666589 pinup 42232 247 131 2520 6346 2626 6852 0 0 0 0 0 99976 23 0 0 0 11998
1789666590 pinup 40161 246 131 48 5504 2626 6852 0 0 0 0 0 99976 23 0 0 0 11998
1789666591 pinup 38082 247 132 47 3434 2626 6852 0 0 0 0 0 99976 23 0 0 0 11998
1789666592 pinup 35995 247 131 47 1355 2626 6852 0 0 0 0 0 99976 23 0 0 0 11998
1789666593 pinup 33908 247 132 48 4 2262 6852 0 0 0 0 0 99976 23 0 0 0 11998
1789666594 pinup 31843 246 132 48 4 1226 6852 0 0 0 0 0 99976 23 0 0 0 11998
1789666596 pinup 29757 247 132 47 4 191 6852 0 0 0 0 0 99976 23 0 0 0 11998
1789666597 pinup 27668 247 131 48 4 1 6427 0 0 0 0 0 99976 23 0 0 0 11998
1789666598 pinup 25598 247 132 47 4 0 5910 0 0 0 0 0 99976 23 0 0 0 11998
1789666599 pinup 23520 247 132 48 3 1 5390 0 0 0 0 0 99976 23 0 0 0 11998
1789666600 pinup 21456 247 131 47 3 0 4877 0 0 0 0 0 99976 23 0 0 0 11998
1789666601 pinup 19369 247 132 47 4 0 4357 0 0 0 0 0 99976 23 0 0 0 11998
1789666602 pinup 17299 247 131 47 4 1 3839 0 0 0 0 0 99976 23 0 0 0 11998
1789666603 pinup 15210 246 132 48 3 0 3319 0 0 0 0 0 99976 23 0 0 0 11998
1789666605 pinup 13132 247 131 47 3 1 2799 0 0 0 0 0 99976 23 0 0 0 11998
1789666606 pinup 11052 247 131 47 4 1 2281 0 0 0 0 0 99976 23 0 0 0 11998
1789666607 pinup 8982 246 131 48 3 0 1764 0 0 0 0 0 99976 23 0 0 0 11998
1789666608 pinup 6903 246 131 48 4 0 1246 0 0 0 0 0 99976 23 0 0 0 11998
1789666609 pinup 4834 246 131 48 4 1 726 0 0 0 0 0 99976 23 0 0 0 11998
1789666610 pinup 2763 211 131 48 3 0 213 0 0 0 0 0 99976 23 0 0 0 11998
1789666611 pinup 3402 4558 1082 47 3 0 0 0 0 0 0 0 99976 23 0 0 0 11998
1789666612 pinup 6947 11314 8506 47 3 0 0 0 0 0 0 0 99976 23 0 0 0 11998
1789666614 pinup 10456 17974 15170 397 3 0 0 0 0 0 0 0 99976 23 0 0 0 11998
1789666615 pinup 13905 24837 22056 398 4 0 0 0 0 0 0 0 99976 23 0 0 0 11998
1789666616 W_fp 14766 26566 23784 398 3 0 0 0 0 0 0 0 99976 23 0 0 0 12076
1789666617 W_fp 14538 26580 23790 398 3 0 0 0 0 0 0 0 99976 23 0 0 0 12308
1789666618 W_fp 14312 26580 23790 398 3 0 0 0 0 0 0 0 99976 23 0 0 0 12536
1789666619 W_fp 14101 26599 23802 398 3 0 0 0 0 0 0 0 99976 23 0 0 0 12755
1789666620 W_fp 13878 26626 23819 398 3 0 0 0 0 0 0 0 99976 23 0 0 0 12988
1789666621 W_fp 13649 26626 23819 398 3 0 0 0 0 0 0 0 99976 23 0 0 0 13215
1789666623 W_fp 13523 26767 23857 434 0 0 0 22664 22661 22661 0 0 99979 23 0 0 0 13337
1789666624 W_fp 13752 27137 23928 586 0 0 0 84904 86045 86045 0 0 99986 23 0 0 0 13233
1789666625 W_fp 13860 27332 24121 587 0 0 0 86674 85530 85530 0 0 99994 23 0 0 0 13121
1789666626 W_fp 13972 27535 24337 588 0 0 0 88422 88420 89549 0 0 100002 23 0 0 0 13014
1789666627 W_fp 14103 27808 24564 591 0 0 0 108089 109210 108081 0 0 100011 23 0 0 0 12878
1789666628 W_fp 14236 28081 24786 592 0 0 0 107439 107294 107294 0 0 100021 23 0 0 0 12745
1789666629 W_fp 14374 28444 24880 595 0 0 0 103629 103728 104563 0 0 100030 23 0 835 836 12624
