epoch phase free0_mb o5 o6 o7 o8 o9 o10 d_pgscan_kswapd d_pgsteal_kswapd d_pgsteal_file d_refault_file d_compact_stall kswapd0_jiffies oom_kill d_pswpout d_pgsteal_direct d_pgscan_direct file_pages_mb
1789756193 pinup 23861 360 174 281 128 67 5826 0 0 0 0 0 11418 23 0 0 0 6801
1789756195 pinup 23866 362 177 281 128 67 5826 0 0 0 1 0 11418 23 0 0 0 6801
1789756196 pinup 23860 362 177 281 128 67 5826 0 0 0 1 0 11418 23 0 0 0 6801
1789756197 pinup 23862 362 177 281 128 67 5826 0 0 0 30 0 11418 23 0 0 0 6801
1789756198 pinup 23863 362 177 281 128 67 5826 0 0 0 1 0 11418 23 0 0 0 6801
1789756199 pinup 23861 362 177 281 128 67 5826 0 0 0 1 0 11418 23 0 0 0 6801
1789756200 pinup 23854 354 177 281 128 67 5826 0 0 0 5 0 11418 23 0 0 0 6801
1789756201 pinup 23848 354 177 281 128 67 5826 0 0 0 0 0 11418 23 0 0 0 6801
1789756202 pinup 23847 354 177 281 128 67 5826 0 0 0 0 0 11418 23 0 0 0 6801
1789756204 pinup 23849 354 177 281 128 67 5826 0 0 0 0 0 11418 23 0 0 0 6801
1789756205 pinup 23849 354 177 281 128 67 5826 0 0 0 5 0 11418 23 0 0 0 6801
1789756206 pinup 23845 354 177 281 128 67 5826 0 0 0 14 0 11418 23 0 0 0 6801
1789756207 pinup 23832 278 168 281 128 67 5826 0 0 0 0 0 11418 23 0 0 0 6801
1789756208 pinup 23822 278 130 279 128 67 5826 0 0 0 3 0 11418 23 0 0 0 6801
1789756209 pinup 23817 278 129 275 128 67 5826 0 0 0 7 0 11418 23 0 0 0 6801
1789756210 pinup 23815 281 130 266 128 67 5826 0 0 0 145 0 11418 23 0 0 0 6802
1789756212 pinup 23849 324 142 270 128 67 5826 0 0 0 1 0 11418 23 0 0 0 6802
1789756213 pinup 23848 324 142 270 128 67 5826 0 0 0 1 0 11418 23 0 0 0 6802
1789756214 pinup 23850 324 142 270 128 67 5826 0 0 0 0 0 11418 23 0 0 0 6802
1789756215 pinup 23851 324 142 270 128 67 5826 0 0 0 0 0 11418 23 0 0 0 6802
1789756216 pinup 23852 324 142 270 128 67 5826 0 0 0 0 0 11418 23 0 0 0 6802
1789756217 pinup 23841 324 142 270 128 67 5826 0 0 0 0 0 11418 23 0 0 0 6802
1789756218 pinup 23846 324 142 270 128 67 5826 0 0 0 0 0 11418 23 0 0 0 6802
1789756219 pinup 23849 324 142 270 128 67 5826 0 0 0 0 0 11418 23 0 0 0 6802
1789756221 pinup 23851 324 142 270 128 67 5826 0 0 0 0 0 11418 23 0 0 0 6802
1789756222 pinup 23857 327 142 270 128 67 5826 0 0 0 0 0 11418 23 0 0 0 6802
1789756223 pinup 23845 327 143 271 128 67 5826 0 0 0 0 0 11418 23 0 0 0 6802
1789756224 pinup 23846 330 143 271 128 67 5826 0 0 0 0 0 11418 23 0 0 0 6802
1789756225 pinup 23849 330 143 271 128 67 5826 0 0 0 0 0 11418 23 0 0 0 6802
1789756226 pinup 23822 281 133 263 128 67 5826 0 0 0 0 0 11418 23 0 0 0 6802
1789756227 pinup 23824 283 134 263 128 67 5826 0 0 0 0 0 11418 23 0 0 0 6802
1789756228 pinup 23827 296 134 263 128 67 5826 0 0 0 0 0 11418 23 0 0 0 6802
1789756230 pinup 23825 296 134 263 128 67 5826 0 0 0 0 0 11418 23 0 0 0 6802
1789756231 pinup 23825 296 134 263 128 67 5826 0 0 0 0 0 11418 23 0 0 0 6802
1789756232 pinup 23829 297 137 263 128 67 5826 0 0 0 0 0 11418 23 0 0 0 6802
1789756233 spread 23827 298 144 263 128 67 5826 0 0 0 0 0 11418 23 0 0 0 6961
1789756234 spread 23827 298 144 263 128 67 5826 0 0 0 0 0 11418 23 0 0 0 7185
1789756235 spread 23814 294 144 263 128 67 5826 0 0 0 0 0 11418 23 0 0 0 7407
1789756236 spread 23817 294 144 263 128 67 5826 0 0 0 0 0 11418 23 0 0 0 7628
1789756238 spread 23824 294 144 263 128 67 5826 0 0 0 0 0 11418 23 0 0 0 7853
1789756239 spread 23828 294 144 263 128 67 5826 0 0 0 0 0 11418 23 0 0 0 8049
1789756240 spread 23825 294 144 263 128 67 5826 0 0 0 0 0 11418 23 0 0 0 8277
1789756241 spread 23631 298 144 264 22 21 5826 0 0 0 0 0 11418 23 0 0 0 8476
1789756242 spread 23412 298 145 264 22 19 5772 0 0 0 0 0 11418 23 0 0 0 8694
1789756243 spread 23194 297 147 264 23 19 5717 0 0 0 0 0 11418 23 0 0 0 8901
1789756244 spread 23007 299 147 264 23 18 5671 0 0 0 0 0 11418 23 0 0 0 9101
1789756246 spread 22800 299 147 264 22 18 5619 0 0 0 0 0 11418 23 0 0 0 9303
1789756247 spread 22570 301 147 264 23 19 5560 0 0 0 0 0 11418 23 0 0 0 9532
1789756248 spread 22390 307 147 264 22 19 5513 0 0 0 0 0 11418 23 0 0 0 9724
1789756249 spread 22185 307 147 264 22 18 5463 0 0 0 0 0 11418 23 0 0 0 9963
1789756250 spread 21955 307 147 264 23 18 5407 0 0 0 0 0 11418 23 0 0 0 10146
1789756251 spread 21753 307 147 264 22 18 5356 0 0 0 0 0 11418 23 0 0 0 10356
1789756252 spread 21550 307 147 264 23 18 5303 0 0 0 0 0 11418 23 0 0 0 10573
1789756254 spread 21366 307 147 264 23 19 5256 0 0 0 0 0 11418 23 0 0 0 10749
1789756255 spread 21177 307 147 264 23 19 5209 0 0 0 0 0 11418 23 0 0 0 10938
1789756256 spread 20974 307 147 264 23 19 5158 0 0 0 0 0 11418 23 0 0 0 11142
1789756257 spread 20776 307 147 264 22 18 5109 0 0 0 0 0 11418 23 0 0 0 11341
1789756258 spread 20574 307 147 264 22 18 5058 0 0 0 0 0 11418 23 0 0 0 11558
1789756259 spread 20354 307 147 264 22 18 5003 0 0 0 0 0 11418 23 0 0 0 11767
1789756260 spread 20165 307 147 264 22 19 4955 0 0 0 0 0 11418 23 0 0 0 11977
1789756261 spread 19949 307 147 264 22 18 4902 0 0 0 0 0 11418 23 0 0 0 12170
1789756263 spread 19744 307 147 264 23 18 4850 0 0 0 0 0 11418 23 0 0 0 12381
1789756264 spread 19511 307 147 264 22 19 4791 0 0 0 0 0 11418 23 0 0 0 12612
1789756265 spread 19311 307 147 264 23 18 4741 0 0 0 0 0 11418 23 0 0 0 12813
1789756266 spread 19105 306 146 265 22 18 4691 0 0 0 0 0 11418 23 0 0 0 13048
1789756267 spread 18861 306 146 265 22 18 4631 0 0 0 0 0 11418 23 0 0 0 13254
1789756268 spread 18667 307 146 265 22 19 4582 0 0 0 0 0 11418 23 0 0 0 13456
1789756269 spread 18440 307 146 265 23 18 4526 0 0 0 0 0 11418 23 0 0 0 13679
1789756271 spread 18244 307 146 265 23 18 4477 0 0 0 7 0 11418 23 0 0 0 13890
1789756272 spread 18037 307 148 265 23 19 4425 0 0 0 0 0 11418 23 0 0 0 14089
1789756273 spread 17823 307 148 265 22 19 4371 0 0 0 0 0 11418 23 0 0 0 14292
1789756274 spread 17612 307 148 265 23 19 4318 0 0 0 0 0 11418 23 0 0 0 14503
1789756275 spread 17406 307 148 265 23 18 4266 0 0 0 0 0 11418 23 0 0 0 14714
1789756276 spread 17215 307 148 265 22 19 4217 0 0 0 0 0 11418 23 0 0 0 14908
1789756277 spread 17030 307 148 265 22 19 4171 0 0 0 0 0 11418 23 0 0 0 15101
1789756279 spread 16828 308 148 265 23 19 4121 0 0 0 0 0 11418 23 0 0 0 15298
1789756280 spread 16651 308 148 265 22 18 4077 0 0 0 0 0 11418 23 0 0 0 15492
1789756281 spread 16436 308 148 265 22 19 4021 0 0 0 0 0 11418 23 0 0 0 15696
1789756282 spread 16221 308 148 265 22 19 3972 0 0 0 0 0 11418 23 0 0 0 15900
1789756283 spread 16011 308 148 265 23 19 3919 0 0 0 0 0 11418 23 0 0 0 16116
1789756284 spread 15817 309 148 265 22 18 3871 0 0 0 0 0 11418 23 0 0 0 16310
1789756285 spread 15604 309 148 265 23 18 3817 0 0 0 0 0 11418 23 0 0 0 16525
1789756286 spread 15424 309 148 265 22 18 3768 0 0 0 0 0 11418 23 0 0 0 16725
1789756288 spread 15239 310 149 265 23 18 3717 0 0 0 2 0 11418 23 0 0 0 16907
1789756289 spread 15014 310 149 265 22 18 3661 0 0 0 128 0 11418 23 0 0 0 17120
1789756290 spread 14838 310 149 265 23 18 3614 0 0 0 0 0 11418 23 0 0 0 17338
1789756291 spread 14616 310 149 265 23 18 3560 0 0 0 0 0 11418 23 0 0 0 17523
1789756292 spread 14413 311 149 265 23 19 3508 0 0 0 0 0 11418 23 0 0 0 17737
1789756293 spread 14212 311 149 265 23 19 3458 0 0 0 1 0 11418 23 0 0 0 17943
1789756294 spread 13992 311 149 265 23 18 3403 0 0 0 0 0 11418 23 0 0 0 18148
1789756296 spread 13792 311 149 265 23 18 3351 0 0 0 0 0 11418 23 0 0 0 18383
1789756297 spread 13584 311 149 265 22 19 3300 0 0 0 2 0 11418 23 0 0 0 18565
1789756298 spread 13362 311 149 265 22 18 3247 0 0 0 0 0 11418 23 0 0 0 18789
1789756299 spread 13141 311 149 265 22 18 3192 0 0 0 0 0 11418 23 0 0 0 18988
1789756300 spread 12921 311 149 265 23 19 3136 0 0 0 0 0 11418 23 0 0 0 19209
1789756301 spread 12714 312 149 265 22 19 3084 0 0 0 0 0 11418 23 0 0 0 19418
1789756302 spread 12522 312 150 265 22 18 3037 0 0 0 0 0 11418 23 0 0 0 19647
1789756304 spread 12309 312 150 265 23 18 2983 0 0 0 0 0 11418 23 0 0 0 19824
1789756305 spread 12099 313 150 265 23 18 2930 0 0 0 0 0 11418 23 0 0 0 20059
1789756306 spread 11868 313 150 265 22 18 2872 0 0 0 0 0 11418 23 0 0 0 20268
1789756307 spread 11674 313 150 265 22 18 2823 0 0 0 0 0 11418 23 0 0 0 20470
1789756308 spread 11464 313 150 265 22 19 2771 0 0 0 0 0 11418 23 0 0 0 20685
1789756309 spread 11244 312 152 265 23 18 2716 0 0 0 1 0 11418 23 0 0 0 20897
1789756310 spread 11050 312 152 265 22 19 2667 0 0 0 0 0 11418 23 0 0 0 21086
1789756312 spread 10842 313 152 265 23 18 2615 0 0 0 0 0 11418 23 0 0 0 21296
1789756313 spread 10625 313 152 265 23 18 2560 0 0 0 0 0 11418 23 0 0 0 21515
1789756314 spread 10443 313 152 265 22 19 2515 0 0 0 0 0 11418 23 0 0 0 21694
1789756315 spread 10236 313 152 265 23 19 2463 0 0 0 0 0 11418 23 0 0 0 21902
1789756316 spread 10012 313 152 265 22 19 2407 0 0 0 0 0 11418 23 0 0 0 22126
1789756317 spread 9807 313 152 265 22 18 2359 0 0 0 0 0 11418 23 0 0 0 22334
1789756318 spread 9589 313 152 265 23 18 2304 0 0 0 0 0 11418 23 0 0 0 22554
1789756320 spread 9374 313 152 265 23 19 2249 0 0 0 0 0 11418 23 0 0 0 22757
1789756321 spread 9137 313 152 265 22 18 2190 0 0 0 0 0 11418 23 0 0 0 22996
1789756322 spread 8948 313 152 265 23 19 2142 0 0 0 0 0 11418 23 0 0 0 23185
1789756323 spread 8739 314 152 265 23 18 2090 0 0 0 0 0 11418 23 0 0 0 23418
1789756324 spread 8507 314 152 265 22 18 2032 0 0 0 0 0 11418 23 0 0 0 23629
1789756325 spread 8321 315 152 265 23 18 1984 0 0 0 0 0 11418 23 0 0 0 23841
1789756326 spread 8098 315 152 265 22 18 1926 0 0 0 0 0 11418 23 0 0 0 24070
1789756327 spread 7901 315 152 265 23 19 1878 0 0 0 1 0 11418 23 0 0 0 24245
1789756329 spread 7683 316 152 265 23 19 1823 0 0 0 0 0 11418 23 0 0 0 24461
1789756330 spread 7481 315 153 265 22 18 1773 0 0 0 0 0 11418 23 0 0 0 24664
1789756331 spread 7262 315 153 265 22 18 1718 0 0 0 0 0 11418 23 0 0 0 24884
1789756332 spread 7041 315 153 265 23 19 1662 0 0 0 0 0 11418 23 0 0 0 25105
1789756333 spread 6834 316 153 265 22 18 1609 0 0 0 0 0 11418 23 0 0 0 25321
1789756334 spread 6639 316 153 265 23 19 1558 0 0 0 0 0 11418 23 0 0 0 25524
1789756335 spread 6416 316 153 265 23 18 1506 0 0 0 0 0 11418 23 0 0 0 25731
