epoch phase free0_mb o5 o6 o7 o8 o9 o10 d_pgscan_kswapd d_pgsteal_kswapd d_pgsteal_file d_refault_file d_compact_stall kswapd0_jiffies oom_kill d_pswpout d_pgsteal_direct d_pgscan_direct file_pages_mb
1789758124 boot 59119 14560 12998 10052 6036 1367 9264 0 0 0 0 0 100745 23 0 0 0 8685
1789758125 R1_warm 59813 10446 8876 6797 4974 1946 10118 0 0 0 126 0 100745 23 0 0 0 8821
1789758126 R1_warm 59627 10316 8746 6717 4778 1980 10130 0 0 0 0 0 100745 23 0 0 0 9010
1789758127 R1_warm 59438 9984 8417 6524 4612 2052 10154 0 0 0 0 0 100745 23 0 0 0 9196
1789758129 R1_warm 59249 9611 8046 6222 4455 2093 10211 0 0 0 0 0 100745 23 0 0 0 9383
1789758130 R1_warm 59056 9593 8028 6206 4271 2090 10214 0 0 0 0 0 100745 23 0 0 0 9574
1789758131 R1_warm 58858 9552 7986 6172 4084 2082 10225 0 0 0 0 0 100745 23 0 0 0 9772
1789758132 R1_warm 58638 9548 7978 6170 3871 2081 10226 0 0 0 0 0 100745 23 0 0 0 9993
1789758133 R1_warm 58422 9499 7929 6123 3670 2082 10234 0 0 0 0 0 100745 23 0 0 0 10205
1789758134 R1_warm 58212 9452 7882 6084 3468 2083 10242 0 0 0 0 0 100745 23 0 0 0 10418
1789758135 R1_warm 58003 9452 7878 6084 3259 2083 10242 0 0 0 0 0 100745 23 0 0 0 10626
1789758136 R1_warm 57801 9442 7868 6078 3058 2086 10243 0 0 0 0 0 100745 23 0 0 0 10830
1789758138 R1_warm 57594 9439 7865 6075 2849 2088 10243 0 0 0 0 0 100745 23 0 0 0 11035
1789758139 R1_warm 57395 9376 7800 6017 2673 2091 10251 0 0 0 0 0 100745 23 0 0 0 11233
1789758140 R1_warm 57194 9344 7767 5998 2479 2097 10253 0 0 0 0 0 100745 23 0 0 0 11439
1789758141 R1_warm 56994 9337 7760 5991 2284 2096 10254 0 0 0 0 0 100745 23 0 0 0 11637
1789758142 R1_warm 56818 9336 7759 5990 2109 2096 10254 0 0 0 0 0 100745 23 0 0 0 11812
1789758143 R1_warm 56634 9255 7678 5941 1956 2095 10264 0 0 0 0 0 100745 23 0 0 0 11994
1789758144 R1_warm 56454 9232 7654 5919 1783 2094 10267 0 0 0 0 0 100745 23 0 0 0 12181
1789758146 R1_warm 56270 9208 7630 5903 1611 2092 10270 0 0 0 0 0 100745 23 0 0 0 12364
1789758147 R1_warm 56086 9180 7602 5875 1453 2090 10272 0 0 0 0 0 100745 23 0 0 0 12548
1789758148 R1_warm 55897 9155 7573 5854 1285 2088 10274 0 0 0 0 0 100745 23 0 0 0 12735
1789758149 R1_warm 55707 9091 7509 5818 1140 2086 10276 0 0 0 0 0 100745 23 0 0 0 12927
1789758150 R1_warm 55508 9091 7509 5818 945 2086 10276 0 0 0 0 0 100745 23 0 0 0 13122
1789758151 R1_warm 55328 9085 7503 5812 769 2086 10276 0 0 0 0 0 100745 23 0 0 0 13306
1789758152 R1_warm 55145 9073 7491 5804 597 2086 10276 0 0 0 0 0 100745 23 0 0 0 13488
1789758153 R1_warm 54958 8996 7414 5737 471 2083 10281 0 0 0 0 0 100745 23 0 0 0 13672
1789758155 R1_warm 54776 8960 7380 5704 316 2080 10284 0 0 0 0 0 100745 23 0 0 0 13855
1789758156 R1_warm 54590 8952 7372 5698 139 2080 10284 0 0 0 0 0 100745 23 0 0 0 14036
1789758157 R1_warm 54409 8934 7350 5686 1 2068 10284 0 0 0 0 0 100745 23 0 0 0 14219
1789758158 R1_warm 54217 8932 7348 5684 0 1974 10284 0 0 0 0 0 100745 23 0 0 0 14412
1789758159 R1_warm 54031 8849 7267 5606 2 1916 10284 0 0 0 0 0 100745 23 0 0 0 14604
1789758160 R1_warm 53833 8830 7248 5593 0 1828 10284 0 0 0 0 0 100745 23 0 0 0 14795
1789758161 R1_warm 53650 8818 7238 5590 2 1739 10284 0 0 0 0 0 100745 23 0 0 0 14983
1789758163 R1_warm 53462 8816 7235 5587 0 1649 10284 0 0 0 0 0 100745 23 0 0 0 15166
1789758164 R1_warm 53276 8773 7192 5568 1 1568 10284 0 0 0 0 0 100745 23 0 0 0 15356
1789758165 R1_warm 53090 8755 7174 5552 0 1485 10284 0 0 0 0 0 100745 23 0 0 0 15542
1789758166 R1_warm 52896 8753 7168 5550 0 1391 10284 0 0 0 0 0 100745 23 0 0 0 15738
1789758167 R1_warm 52702 8723 7138 5526 14 1300 10284 0 0 0 0 0 100745 23 0 0 0 15933
1789758168 R1_warm 52517 8679 7094 5504 4 1230 10284 0 0 0 0 0 100745 23 0 0 0 16117
1789758169 R1_warm 52333 8668 7083 5497 1 1144 10284 0 0 0 0 0 100745 23 0 0 0 16299
1789758171 R1_warm 52154 8646 7061 5487 0 1063 10284 0 0 0 0 0 100745 23 0 0 0 16474
1789758172 R1_warm 51962 8634 7049 5475 3 971 10284 0 0 0 0 0 100745 23 0 0 0 16671
1789758173 R1_warm 51778 8633 7048 5474 0 882 10284 0 0 0 0 0 100745 23 0 0 0 16853
1789758174 R1_warm 51601 8596 7007 5449 1 810 10284 0 0 0 0 0 100745 23 0 0 0 17029
1789758175 R1_warm 51426 8589 7000 5442 3 724 10284 0 0 0 0 0 100745 23 0 0 0 17208
1789758176 R1_warm 51233 8528 6939 5401 1 660 10284 0 0 0 0 0 100745 23 0 0 0 17386
1789758177 R1_warm 51060 8527 6938 5400 1 574 10284 0 0 0 0 0 100745 23 0 0 0 17557
1789758178 R1_warm 50888 8525 6936 5400 0 491 10284 0 0 0 0 0 100745 23 0 0 0 17728
1789758180 R1_warm 50712 8522 6933 5397 3 403 10284 0 0 0 0 0 100745 23 0 0 0 17905
1789758181 R1_warm 50538 8520 6931 5395 1 317 10284 0 0 0 0 0 100745 23 0 0 0 18076
1789758182 R1_warm 50377 8505 6916 5380 1 240 10284 0 0 0 0 0 100745 23 0 0 0 18246
1789758183 R1_warm 50193 8505 6916 5380 1 149 10284 0 0 0 0 0 100745 23 0 0 0 18434
1789758184 R1_w1 49955 8494 6901 5375 0 34 10284 0 0 0 0 0 100745 23 0 0 0 18676
1789758185 R1_w1 49692 8486 6893 5367 0 0 10237 0 0 0 0 0 100745 23 0 0 0 18942
1789758186 R1_w1 49411 8486 6889 5367 0 1 10167 0 0 0 0 0 100745 23 0 0 0 19225
1789758187 R1_w1 49111 8380 6783 5301 0 0 10114 0 0 0 0 0 100745 23 0 0 0 19527
1789758189 R1_w1 48856 8378 6777 5299 1 1 10051 0 0 0 0 0 100745 23 0 0 0 19779
1789758190 R1_w1 48602 8363 6762 5288 0 1 9991 0 0 0 0 0 100745 23 0 0 0 20030
1789758191 R1_w1 48365 8359 6754 5286 1 0 9933 0 0 0 0 0 100745 23 0 0 0 20271
1789758192 R1_w1 48109 8344 6739 5279 0 1 9871 0 0 0 0 0 100745 23 0 0 0 20531
1789758193 R1_w1 47854 8328 6719 5267 0 1 9812 0 0 0 0 0 100745 23 0 0 0 20784
1789758194 R1_w1 47604 8260 6651 5225 1 1 9762 0 0 0 0 0 100745 23 0 0 0 21040
1789758195 R1_w1 47348 8231 6618 5206 0 0 9705 0 0 0 0 0 100745 23 0 0 0 21299
1789758196 R1_w1 47087 8225 6612 5202 2 1 9640 0 0 0 0 0 100745 23 0 0 0 21559
1789758198 R1_w1 46819 8195 6578 5186 1 0 9580 0 0 0 0 0 100745 23 0 0 0 21828
1789758199 R1_w1 46548 8195 6578 5186 1 0 9512 0 0 0 0 0 100745 23 0 0 0 22103
1789758200 R1_w1 46287 8192 6571 5183 1 0 9448 0 0 0 0 0 100745 23 0 0 0 22365
1789758201 R1_w1 46025 8186 6565 5179 1 1 9383 0 0 0 0 0 100745 23 0 0 0 22625
1789758202 R1_w1 45747 8185 6560 5180 1 0 9315 0 0 0 0 0 100745 23 0 0 0 22907
1789758203 R1_w1 45475 8154 6525 5161 0 1 9253 0 0 0 0 0 100745 23 0 0 0 23181
1789758204 R1_w1 45201 8154 6525 5161 1 1 9184 0 0 0 0 0 100745 23 0 0 0 23457
1789758205 R1_w1 44927 8146 6513 5159 2 0 9118 0 0 0 0 0 100745 23 0 0 0 23728
