epoch phase free0_mb o5 o6 o7 o8 o9 o10 d_pgscan_kswapd d_pgsteal_kswapd d_pgsteal_file d_refault_file d_compact_stall kswapd0_jiffies oom_kill d_pswpout d_pgsteal_direct d_pgscan_direct file_pages_mb
1789665140 R1_warm 49177 19208 7071 18074 12079 3519 3096 0 0 0 0 0 99618 23 0 0 0 17444
1789665141 R1_warm 48966 19208 7055 17895 11988 3519 3096 0 0 0 9 0 99618 23 0 0 0 17636
1789665142 R1_warm 48804 19362 7054 17826 11851 3516 3100 0 0 0 0 0 99618 23 0 0 0 17800
1789665143 R1_warm 48625 19360 7059 17742 11719 3516 3100 0 0 0 0 0 99618 23 0 0 0 17976
1789665145 R1_warm 48446 19360 7059 17662 11582 3516 3100 0 0 0 0 0 99618 23 0 0 0 18152
1789665146 R1_warm 48277 19360 7059 17600 11441 3516 3100 0 0 0 0 0 99618 23 0 0 0 18326
1789665147 R1_warm 48104 19361 7059 17537 11297 3516 3100 0 0 0 0 0 99618 23 0 0 0 18496
1789665148 R1_warm 47923 19361 7059 17464 11163 3516 3100 0 0 0 0 0 99618 23 0 0 0 18671
1789665149 R1_warm 47758 19356 7071 17401 11027 3516 3100 0 0 0 0 0 99618 23 0 0 0 18838
1789665150 R1_warm 47590 19356 7071 17345 10890 3516 3100 0 0 0 0 0 99618 23 0 0 0 19001
1789665151 R1_warm 47421 19356 7070 17279 10756 3516 3100 0 0 0 0 0 99618 23 0 0 0 19170
1789665152 R1_warm 47266 19356 7070 17203 10629 3516 3100 0 0 0 0 0 99618 23 0 0 0 19337
1789665154 R1_warm 47095 19356 7070 17135 10493 3516 3100 0 0 0 0 0 99618 23 0 0 0 19504
1789665155 R1_warm 46928 19356 7070 17066 10362 3516 3100 0 0 0 0 0 99618 23 0 0 0 19671
1789665156 R1_warm 46762 19346 7082 17004 10228 3516 3100 0 0 0 0 0 99618 23 0 0 0 19842
1789665157 R1_warm 46587 19345 7081 16926 10092 3516 3100 0 0 0 0 0 99618 23 0 0 0 20017
1789665158 R1_warm 46408 19345 7081 16858 9949 3516 3100 0 0 0 0 0 99618 23 0 0 0 20189
1789665159 R1_warm 46244 19334 7099 16790 9819 3516 3100 0 0 0 0 0 99618 23 0 0 0 20355
1789665160 R1_warm 46069 19330 7098 16715 9681 3516 3100 0 0 0 0 0 99618 23 0 0 0 20532
1789665162 R1_warm 45896 19330 7098 16631 9553 3516 3100 0 0 0 0 0 99618 23 0 0 0 20701
1789665163 R1_warm 45733 19329 7099 16549 9426 3516 3100 0 0 0 0 0 99618 23 0 0 0 20871
1789665164 R1_warm 45557 19329 7099 16467 9291 3516 3100 0 0 0 0 0 99618 23 0 0 0 21045
1789665165 R1_warm 45382 19325 7111 16384 9161 3516 3100 0 0 0 0 0 99618 23 0 0 0 21217
1789665166 R1_warm 45204 19323 7109 16305 9023 3516 3100 0 0 0 0 0 99618 23 0 0 0 21395
1789665167 R1_warm 45021 19323 7109 16218 8888 3516 3100 0 0 0 0 0 99618 23 0 0 0 21572
1789665168 R1_warm 44854 19323 7109 16160 8745 3516 3100 0 0 0 0 0 99618 23 0 0 0 21746
1789665169 R1_warm 44670 19311 7126 16091 8598 3516 3100 0 0 0 0 0 99618 23 0 0 0 21927
1789665171 R1_warm 44481 19308 7125 16024 8451 3516 3100 0 0 0 0 0 99618 23 0 0 0 22112
1789665172 R1_warm 44306 19308 7125 15943 8311 3516 3100 0 0 0 0 0 99618 23 0 0 0 22290
1789665173 R1_warm 44131 19308 7125 15865 8177 3516 3100 0 0 0 0 0 99618 23 0 0 0 22459
1789665174 R1_warm 43959 19307 7124 15780 8051 3516 3100 0 0 0 0 0 99618 23 0 0 0 22634
1789665175 R1_warm 43791 19307 7124 15693 7925 3516 3100 0 0 0 0 0 99618 23 0 0 0 22802
1789665176 R1_warm 43611 19305 7121 15607 7791 3517 3100 0 0 0 0 0 99618 23 0 0 0 22979
1789665177 R1_warm 43429 19305 7121 15527 7650 3517 3100 0 0 0 0 0 99618 23 0 0 0 23159
1789665179 R1_warm 43249 19305 7121 15435 7511 3517 3100 0 0 0 0 0 99618 23 0 0 0 23348
1789665180 R1_warm 43064 19305 7121 15352 7372 3517 3100 0 0 0 0 0 99618 23 0 0 0 23526
1789665181 R1_warm 42891 19305 7121 15271 7235 3517 3100 0 0 0 0 0 99618 23 0 0 0 23707
1789665182 R1_warm 42701 19301 7126 15171 7102 3517 3100 0 0 0 0 0 99618 23 0 0 0 23886
1789665183 R1_warm 42532 19301 7126 15069 6980 3517 3100 0 0 0 0 0 99618 23 0 0 0 24058
1789665184 R1_warm 42359 19299 7124 14995 6844 3517 3100 0 0 0 0 0 99618 23 0 0 0 24233
1789665185 R1_warm 42182 19299 7124 14897 6718 3517 3100 0 0 0 0 0 99618 23 0 0 0 24404
1789665186 R1_warm 42012 19297 7122 14815 6590 3517 3100 0 0 0 0 0 99618 23 0 0 0 24579
1789665188 R1_warm 41843 19297 7121 14739 6456 3517 3100 0 0 0 0 0 99618 23 0 0 0 24751
1789665189 R1_warm 41663 19297 7121 14649 6323 3517 3100 0 0 0 0 0 99618 23 0 0 0 24928
1789665190 R1_warm 41493 19297 7121 14573 6191 3517 3100 0 0 0 0 0 99618 23 0 0 0 25099
1789665191 R1_warm 41335 19297 7121 14489 6072 3517 3100 0 0 0 0 0 99618 23 0 0 0 25259
1789665192 R1_warm 41162 19297 7121 14410 5934 3517 3100 0 0 0 0 0 99618 23 0 0 0 25437
1789665193 R1_warm 40984 19297 7121 14329 5798 3517 3100 0 0 0 0 0 99618 23 0 0 0 25612
1789665194 R1_warm 40811 19297 7121 14248 5665 3517 3100 0 0 0 0 0 99618 23 0 0 0 25785
1789665195 R1_warm 40631 19297 7121 14164 5535 3517 3100 0 0 0 0 0 99618 23 0 0 0 25958
1789665197 R1_warm 40456 19297 7121 14080 5404 3517 3100 0 0 0 0 0 99618 23 0 0 0 26134
1789665198 R1_warm 40287 19297 7121 13994 5276 3517 3100 0 0 0 0 0 99618 23 0 0 0 26304
1789665199 R1_warm 40112 19293 7122 13923 5142 3517 3100 0 0 0 0 0 99618 23 0 0 0 26474
1789665200 R1_warm 39942 19293 7122 13843 5010 3517 3100 0 0 0 0 0 99618 23 0 0 0 26645
1789665201 R1_warm 39770 19293 7122 13769 4874 3517 3100 0 0 0 0 0 99618 23 0 0 0 26816
1789665202 R1_warm 39598 19293 7122 13693 4736 3517 3100 0 0 0 0 0 99618 23 0 0 0 26989
1789665203 R1_warm 39424 19291 7122 13608 4612 3517 3100 0 0 0 0 0 99618 23 0 0 0 27163
1789665205 R1_warm 39265 19291 7122 13530 4484 3517 3100 0 0 0 0 0 99618 23 0 0 0 27328
1789665206 R1_warm 39096 19291 7122 13458 4356 3517 3100 0 0 0 0 0 99618 23 0 0 0 27493
1789665207 R1_warm 38933 19291 7122 13384 4227 3517 3100 0 0 0 0 0 99618 23 0 0 0 27660
1789665208 R1_warm 38761 19291 7122 13298 4100 3517 3100 0 0 0 0 0 99618 23 0 0 0 27826
1789665209 R1_warm 38596 19291 7122 13221 3970 3517 3100 0 0 0 0 0 99618 23 0 0 0 27998
1789665210 R1_w1 38424 19277 7122 13018 3912 3516 3101 0 0 0 0 0 99618 23 0 0 0 28159
1789665211 R1_w1 38324 19275 7120 12813 3912 3516 3101 0 0 0 0 0 99618 23 0 0 0 28347
1789665212 R1_w1 38325 19275 7120 12813 3912 3516 3101 0 0 0 0 0 99618 23 0 0 0 28540
1789665214 R1_w1 38325 19275 7120 12813 3912 3516 3101 0 0 0 0 0 99618 23 0 0 0 28736
1789665215 R1_w1 38327 19275 7120 12813 3912 3516 3101 0 0 0 0 0 99618 23 0 0 0 28923
1789665216 R1_w1 38328 19275 7120 12813 3912 3516 3101 0 0 0 0 0 99618 23 0 0 0 29110
1789665217 R1_w1 38328 19275 7120 12813 3912 3516 3101 0 0 0 0 0 99618 23 0 0 0 29301
1789665218 R1_w1 38329 19273 7120 12812 3911 3517 3101 0 0 0 0 0 99618 23 0 0 0 29485
1789665219 R1_w1 38330 19272 7119 12813 3911 3517 3101 0 0 0 0 0 99618 23 0 0 0 29639
1789665220 R1_w1 38330 19272 7119 12813 3911 3517 3101 0 0 0 0 0 99618 23 0 0 0 29797
1789665221 R1_w1 38330 19272 7119 12813 3911 3517 3101 0 0 0 0 0 99618 23 0 0 0 29953
1789665223 R1_w1 38330 19272 7119 12813 3911 3517 3101 0 0 0 0 0 99618 23 0 0 0 30272
1789665224 R1_w1 38330 19272 7119 12813 3911 3517 3101 0 0 0 0 0 99618 23 0 0 0 30519
1789665225 R1_w1 38330 19272 7119 12813 3911 3517 3101 0 0 0 0 0 99618 23 0 0 0 30767
1789665226 R1_w1 38330 19272 7119 12813 3911 3517 3101 0 0 0 0 0 99618 23 0 0 0 30968
1789665227 R1_w1 38330 19272 7119 12813 3911 3517 3101 0 0 0 0 0 99618 23 0 0 0 31164
1789665228 R1_w1 38330 19272 7119 12813 3911 3517 3101 0 0 0 0 0 99618 23 0 0 0 31346
1789665229 R1_w1 38330 19272 7119 12813 3911 3517 3101 0 0 0 0 0 99618 23 0 0 0 31533
1789665230 R1_w1 38330 19272 7119 12813 3911 3517 3101 0 0 0 0 0 99618 23 0 0 0 31723
1789665232 R1_w1 38330 19272 7119 12813 3911 3517 3101 0 0 0 0 0 99618 23 0 0 0 31914
1789665233 R1_w1 38330 19272 7119 12813 3911 3517 3101 0 0 0 0 0 99618 23 0 0 0 32091
1789665234 R1_w1 38330 19272 7119 12813 3911 3517 3101 0 0 0 0 0 99618 23 0 0 0 32256
