# sec ops lt20us lt100us lt1ms lt10ms ge10ms max_us
1 3016451 3016322 128 0 1 0 1187
2 3044002 3043892 110 0 0 0 75
3 3045006 3044891 115 0 0 0 62
4 3053420 3053304 116 0 0 0 50
5 3044802 3044695 107 0 0 0 64
6 3048838 3048724 114 0 0 0 74
7 3051042 3050930 112 0 0 0 48
8 3052138 3052017 121 0 0 0 64
9 3043134 3043022 112 0 0 0 52
10 3034779 3034664 115 0 0 0 67
11 3034849 3034738 110 0 1 0 1257
12 3039348 3039234 114 0 0 0 68
13 3039794 3039686 108 0 0 0 51
14 3040211 3040093 118 0 0 0 71
15 3040200 3040074 125 1 0 0 104
16 3039146 3039033 113 0 0 0 49
17 3039434 3039313 121 0 0 0 48
18 3039166 3039051 115 0 0 0 70
19 3039822 3039700 122 0 0 0 95
20 3039882 3039766 116 0 0 0 46
21 3037234 3037117 115 1 0 0 316
22 3036197 3036090 108 0 0 0 67
23 3035752 3035631 121 0 0 0 94
24 3035932 3035816 115 0 0 0 65
25 3036321 3036210 112 0 0 0 65
26 3034252 3034132 119 0 0 0 98
27 3035930 3035819 112 0 0 0 93
28 3036752 3036640 112 0 0 0 51
29 3036101 3035998 103 0 0 0 62
30 3036292 3036184 108 0 0 0 64
31 3036448 3036331 117 0 0 0 94
32 3034380 3034266 112 2 0 0 635
33 3036269 3036161 108 0 0 0 69
34 3036614 3036501 113 0 0 0 45
35 3036552 3036434 118 0 0 0 91
36 3036646 3036531 115 0 0 0 48
37 3035153 3035034 118 0 0 0 51
38 3036072 3035965 108 0 0 0 69
39 3036479 3036373 106 0 0 0 96
40 3035900 3035790 110 0 0 0 60
41 3036728 3036617 111 0 0 0 47
42 3035172 3035060 112 0 0 0 47
43 3036272 3036166 106 0 0 0 97
44 3036615 3036496 119 0 0 0 68
45 3036257 3036145 112 0 0 0 48
46 3036759 3036649 110 0 0 0 60
47 3035869 3035756 113 0 0 0 91
48 3035385 3035265 119 0 0 0 46
49 3036608 3036496 113 0 0 0 67
50 3035497 3035384 113 0 0 0 69
51 3036374 3036259 115 0 0 0 60
52 3035271 3035152 117 2 0 0 611
53 3034823 3034705 117 0 0 0 64
54 3034499 3034386 114 0 0 0 66
55 3035153 3035037 116 0 0 0 96
56 3034544 3034424 119 1 0 0 169
57 3034546 3034421 125 0 0 0 66
58 3034474 3034356 118 0 0 0 56
59 3034736 3034625 111 0 0 0 94
60 3035159 3035042 117 0 0 0 82
