# sec ops lt20us lt100us lt1ms lt10ms ge10ms max_us
1 461 77 0 1 242 141 48390
2 469 68 0 0 258 143 59987
3 470 77 1 2 247 143 48029
4 458 87 0 0 230 141 66884
5 497 91 0 1 268 137 54030
6 491 99 0 4 245 143 75464
7 452 76 0 1 232 143 47236
8 436 66 0 5 213 152 57805
9 468 87 0 1 237 143 66109
10 487 95 1 6 245 140 48923
11 436 73 0 1 214 148 49409
12 434 71 0 4 212 147 85504
13 444 62 0 1 235 146 59147
14 465 85 1 2 234 143 59644
15 447 79 0 0 225 143 61880
16 464 77 0 1 251 135 93717
17 474 91 1 5 245 132 55937
18 482 79 0 3 253 147 64627
19 504 92 0 1 285 126 53217
20 446 71 0 2 228 145 71852
21 435 72 0 2 216 145 73492
22 448 66 0 4 237 141 59952
23 451 68 1 2 230 150 118319
24 453 80 0 4 231 138 65809
25 448 76 0 1 230 141 49851
26 474 83 0 4 252 135 83354
27 449 86 0 1 212 150 60568
28 501 98 0 1 257 145 52707
29 453 80 0 1 225 147 46611
30 442 60 0 2 234 146 74613
31 482 80 0 0 260 142 76251
32 455 82 0 2 236 135 79046
33 443 83 0 0 221 139 67052
34 459 80 0 1 232 146 73818
35 462 66 0 0 258 138 52222
36 464 84 0 1 223 156 51436
37 458 72 0 2 251 133 59320
38 432 57 0 2 232 141 56225
39 449 72 0 1 239 137 63637
40 483 95 0 0 254 134 83017
41 487 95 0 3 247 142 43025
42 435 68 0 0 210 157 62220
43 478 70 0 2 271 135 64489
44 503 97 0 4 281 121 49472
45 443 71 0 2 221 149 48485
46 420 82 0 3 188 147 82245
47 432 71 0 4 202 155 69873
48 476 80 0 1 240 155 54869
49 453 72 0 1 238 142 61193
50 467 73 0 3 239 152 49354
51 421 79 0 3 194 145 66254
52 483 98 0 4 239 142 81816
53 456 74 0 2 230 150 79427
54 460 69 0 5 248 138 85029
55 482 97 0 1 240 144 47763
56 448 54 0 1 259 134 68093
57 461 77 0 5 241 138 59612
58 468 82 0 2 231 153 68541
59 480 83 0 5 248 144 53806
60 472 90 0 4 249 129 65809
