# sec ops lt20us lt100us lt1ms lt10ms ge10ms max_us
1 491 89 0 4 266 132 58715
2 479 97 0 0 239 143 74960
3 444 73 0 2 225 144 62921
4 453 81 0 3 227 142 56212
5 447 78 0 2 223 144 64498
6 484 102 1 1 238 142 59474
7 471 93 0 0 237 141 57750
8 458 74 0 3 244 137 47056
9 499 92 0 3 258 146 97745
10 456 80 0 1 229 146 63305
11 490 95 1 2 255 137 65371
12 465 96 0 5 226 138 56739
13 462 82 0 3 235 142 64332
14 453 93 0 3 212 145 59188
15 461 89 0 2 227 143 111031
16 479 84 0 1 266 128 49192
17 460 74 0 0 239 147 58767
18 460 88 1 1 215 155 54340
19 485 96 1 2 239 147 42871
20 447 86 0 2 214 145 59101
21 471 104 0 0 213 154 67148
22 449 85 0 1 219 144 69764
23 473 103 0 2 214 154 58600
24 457 87 0 4 216 150 50276
25 481 110 0 0 219 152 87694
26 449 81 1 1 221 145 69168
27 453 93 0 1 213 146 52936
28 493 92 1 2 254 144 76690
29 454 85 0 2 226 141 53944
30 453 82 0 0 223 148 66600
31 448 85 2 1 209 151 66957
32 457 86 0 1 222 148 54303
33 438 72 0 3 215 148 58829
34 467 89 0 2 222 154 74094
35 455 94 0 0 217 144 80912
36 448 75 0 2 222 149 84748
37 442 93 0 2 195 152 127567
38 477 89 1 0 253 134 72299
39 425 80 0 2 201 142 98710
40 471 98 0 0 226 147 62235
41 475 103 0 4 225 143 48904
42 463 97 1 1 221 143 78072
43 484 82 0 4 251 147 53224
44 433 91 0 1 181 160 58483
45 480 96 0 4 230 150 58871
46 477 101 0 1 226 149 55018
47 494 103 0 5 244 142 53715
48 477 107 0 3 218 149 58909
49 443 74 0 2 223 144 71682
50 465 83 0 1 226 155 61693
51 444 83 1 3 214 143 114978
52 476 114 0 3 205 154 57923
53 457 97 0 1 217 142 58390
54 460 77 1 2 234 146 74827
55 454 73 0 3 248 130 61605
56 461 77 0 2 230 152 47908
57 471 91 0 3 235 142 63750
58 465 82 0 2 252 129 77960
59 484 92 1 7 253 131 68799
60 500 101 0 3 253 143 69901
