epoch phase free0_mb o5 o6 o7 o8 o9 o10 d_pgscan_kswapd d_pgsteal_kswapd d_pgsteal_file d_refault_file d_compact_stall kswapd0_jiffies oom_kill d_pswpout d_pgsteal_direct d_pgscan_direct file_pages_mb
1789572077 A_warm 62500 20349 19258 14904 9560 2958 6712 0 0 0 0 0 99163 23 0 0 0 1627
1789572078 A_warm 62265 20221 19129 14802 9301 2980 6736 0 0 0 0 0 99163 23 0 0 0 1859
1789572079 A_warm 62043 20174 19084 14778 9070 2996 6739 0 0 0 0 0 99163 23 0 0 0 2084
1789572080 A_warm 61816 19925 18842 14618 8819 3037 6776 0 0 0 0 0 99163 23 0 0 0 2307
1789572082 A_warm 61598 19877 18794 14578 8579 3042 6790 0 0 0 0 0 99163 23 0 0 0 2522
1789572083 A_warm 61374 19808 18727 14538 8362 3057 6794 0 0 0 0 0 99163 23 0 0 0 2752
1789572084 A_warm 61142 19686 18604 14467 8129 3071 6813 0 0 0 0 0 99163 23 0 0 0 2980
1789572085 A_warm 60913 19481 18419 14350 7876 3053 6868 0 0 0 0 0 99163 23 0 0 0 3206
1789572086 A_warm 60685 19451 18391 14327 7648 3060 6871 0 0 0 0 0 99163 23 0 0 0 3433
1789572087 A_warm 60461 19369 18310 14266 7441 3067 6881 0 0 0 0 0 99163 23 0 0 0 3656
1789572088 A_warm 60168 18769 17710 13865 7241 3126 6953 0 0 0 0 0 99163 23 0 0 0 3961
1789572089 A_warm 59885 16958 15913 12733 7211 3305 7167 0 0 0 0 0 99163 23 0 0 0 4245
1789572091 A_warm 59597 16737 15692 12553 6924 3337 7200 0 0 0 0 0 99163 23 0 0 0 4536
1789572092 A_warm 59336 16556 15524 12432 6661 3317 7248 0 0 0 0 0 99163 23 0 0 0 4800
1789572093 A_warm 59081 15555 14528 11761 6523 3360 7405 0 0 0 0 0 99163 23 0 0 0 5060
1789572094 A_warm 58828 15380 14358 11629 6281 3379 7430 0 0 0 0 0 99163 23 0 0 0 5314
1789572095 A_warm 58636 15274 14255 11542 6100 3379 7451 0 0 0 0 0 99163 23 0 0 0 5511
1789572096 A_warm 58398 15266 14245 11535 5866 3382 7451 0 0 0 0 0 99163 23 0 0 0 5749
1789572097 A_warm 58126 15234 14211 11517 5601 3383 7455 0 0 0 0 0 99163 23 0 0 0 6022
1789572099 A_warm 57847 15201 14177 11490 5313 3380 7466 0 0 0 0 0 99163 23 0 0 0 6300
1789572100 A_warm 57549 15072 14045 11394 5064 3383 7487 0 0 0 0 0 99163 23 0 0 0 6577
1789572101 A_warm 57286 15059 14032 11383 4801 3381 7491 0 0 0 0 0 99163 23 0 0 0 6839
1789572102 A_warm 57013 15011 13986 11354 4543 3386 7494 0 0 0 1 0 99163 23 0 0 0 7114
1789572103 A_warm 56741 14968 13942 11320 4287 3382 7501 0 0 0 0 0 99163 23 0 0 0 7388
1789572104 A_warm 56466 14908 13883 11272 4014 3381 7514 0 0 0 0 0 99163 23 0 0 0 7665
1789572105 A_warm 56170 14792 13762 11179 3768 3380 7530 0 0 0 0 0 99163 23 0 0 0 7958
1789572106 A_warm 55889 14786 13755 11172 3488 3380 7531 0 0 0 1 0 99163 23 0 0 0 8239
1789572108 A_warm 55613 14761 13730 11151 3224 3377 7535 0 0 0 0 0 99163 23 0 0 0 8518
1789572109 A_warm 55336 14664 13630 11071 2997 3390 7538 0 0 0 0 0 99163 23 0 0 0 8796
1789572110 A_warm 55049 14508 13478 10943 2782 3376 7562 0 0 0 0 0 99163 23 0 0 0 9083
1789572111 A_warm 54771 14427 13399 10919 2532 3367 7572 0 0 0 0 0 99163 23 0 0 0 9365
1789572112 A_warm 54492 14355 13324 10870 2303 3363 7577 0 0 0 0 0 99163 23 0 0 0 9645
1789572113 A_warm 54221 14297 13262 10826 2070 3359 7582 0 0 0 0 0 99163 23 0 0 0 9918
1789572114 A_warm 53949 14240 13205 10820 1813 3357 7587 0 0 0 0 0 99163 23 0 0 0 10195
1789572116 A_warm 53664 14229 13193 10816 1537 3356 7588 0 0 0 2 0 99163 23 0 0 0 10479
1789572117 A_warm 53379 14181 13143 10774 1296 3354 7591 0 0 0 0 0 99163 23 0 0 0 10757
1789572118 A_warm 53101 14127 13089 10726 1048 3352 7597 0 0 0 2 0 99163 23 0 0 0 11036
1789572119 A_warm 52823 14036 12995 10650 829 3348 7605 0 0 0 0 0 99163 23 0 0 0 11314
1789572120 A_warm 52560 13862 12828 10500 703 3339 7614 0 0 0 0 0 99163 23 0 0 0 11589
1789572121 A_warm 52288 13806 12771 10457 476 3336 7617 0 0 0 0 0 99163 23 0 0 0 11860
1789572122 A_warm 52037 13774 12737 10430 256 3336 7617 0 0 0 0 0 99163 23 0 0 0 12112
1789572123 A_warm 51769 13758 12721 10428 1 3334 7617 0 0 0 0 0 99163 23 0 0 0 12376
